Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Notes from original source,License URL
SE.PRM.TENR.FE,CC BY-4.0,"Adjusted net enrollment rate, primary, female (% of primary school age children)",,"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education: Participation,,,Annual,Weighted Average,"Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Relevance to gender indicator: Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,"Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TENR.MA,CC BY-4.0,"Adjusted net enrollment rate, primary, male (% of primary school age children)",,"Adjusted net enrollment is the number of pupils of the school-age group for primary education, enrolled either in primary or secondary education, expressed as a percentage of the total population in that age group.",UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of February 2020.,Education: Participation,,,Annual,Weighted Average,"Adjusted net enrollment rate in primary education is calculated by dividing the number of children in the official primary school age who are enrolled in primary or secondary education by the population of the same age group and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system. The net enrollment rate excludes overage and underage students and more accurately captures the system's coverage and internal efficiency. Differences between the gross enrollment ratio and the net enrollment rate show the incidence of overage and underage enrollments. The adjusted net enrollment rate in primary education captures primary school-age children who have progressed to secondary education faster than their peers have and who are not counted in the traditional net enrollment rate.","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.UNER.LO.ZS,CC BY-4.0,Adolescents out of school (% of lower secondary school age),,Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted Average,"The rate of out-of-school adolescents allows to compare across countries with different population sizes. It shows the share of official lower secondary age adolescents who never attended school or dropped out to the population of official lower secondary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.UNER.LO.FE.ZS,CC BY-4.0,"Adolescents out of school, female (% of female lower secondary school age)",,Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted Average,"The rate of out-of-school adolescents allows to compare across countries with different population sizes. It shows the share of official lower secondary age adolescents who never attended school or dropped out to the population of official lower secondary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.SEC.UNER.LO.MA.ZS,CC BY-4.0,"Adolescents out of school, male (% of male lower secondary school age)",,Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted Average,"The rate of out-of-school adolescents allows to compare across countries with different population sizes. It shows the share of official lower secondary age adolescents who never attended school or dropped out to the population of official lower secondary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
FB.ATM.TOTL.P5,CC BY-4.0,"Automated teller machines (ATMs) (per 100,000 adults)",,Automated teller machines are computerized telecommunications devices that provide clients of a financial institution with access to financial transactions in a public place.,"International Monetary Fund, Financial Access Survey.",Financial Sector: Access,,,Annual,Median,"Data are shown as the total number of ATMs for every 100,000 adults in the reporting country. Calculated as (number of ATMs)*100,000/adult population in the reporting country.","Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.","Population-based ratios of the number of branches and ATMs assume a uniform distribution of bank outlets within a country's area and across its population, while in most countries bank branches and ATMs are concentrated in urban centers of the country and are accessible only to some individuals.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.RMT.COST.OB.ZS,CC BY-4.0,Average transaction cost of sending remittances from a specific country (%),,Average transaction cost of sending remittance from a specific country is the average of the total transaction cost in percentage of the amount sent for sending USD 200 charged by each single remittance service provider (RSP) included in the Remittance Prices Worldwide (RPW) database from a specific country.,"World Bank, Remittance Prices Worldwide, available at http://remittanceprices.worldbank.org",Financial Sector: Access,,,Quarterly (represented as Annual),,"The World Bank calculates and tracks the global average cost for sending remittances following each iteration of Remittance Prices Worldwide (RPW). This is intended to provide a tool to track the trend of remittance prices by various policy makers, including measuring progress towards the commitment by the G8 member countries to reduce the cost of remittances by five percentage points over five years (the “5x5 Objective”), as well as the commitment by the G20 member countries to also reduce the global average to 5 percent. The Global Average Total Cost is calculated as the average total cost for sending USD 200 with all remittance service providers (RSPs) worldwide. In other terms, the global average total cost is the simple average of the total cost for sending USD 200 charged by each single RSP included in the RPW database, expressed as the percentage of the amount sent. The regional and national average total costs are calculated using the same methodology used to calculate the Global Average Total Cost. These represent the simple average total cost for sending USD 200 with every single RSP from a specific region of the world (regional), or from a specific country (national). The same applies to other averages such as the G8 average, which calculates the average cost of sending USD 200 from the G8 member countries, or the bank average, which represent the average cost of sending USD 200 with a bank worldwide. The reference years reflect third quarter data here; for example, data for 2016 refers to data in the third quarter of the year. For all quarterly data, visit http://remittanceprices.worldbank.org.","Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030.",Remittance service providers (RSPs) are excluded when they do not disclose the exchange rate applied to the transaction.,,,https://datacatalog.worldbank.org/public-licenses#cc-by
SI.RMT.COST.IB.ZS,CC BY-4.0,Average transaction cost of sending remittances to a specific country (%),,Average transaction cost of sending remittance to a specific country is the average of the total transaction cost in percentage of the amount sent for sending USD 200 charged by each single remittance service provider (RSP) included in the Remittance Prices Worldwide (RPW) database to a specific country.,"World Bank, Remittance Prices Worldwide, available at http://remittanceprices.worldbank.org",Financial Sector: Access,,,Quarterly (represented as Annual),,"The World Bank calculates and tracks the global average cost for sending remittances following each iteration of Remittance Prices Worldwide (RPW). This is intended to provide a tool to track the trend of remittance prices by various policy makers, including measuring progress towards the commitment by the G8 member countries to reduce the cost of remittances by five percentage points over five years (the “5x5 Objective”), as well as the commitment by the G20 member countries to also reduce the global average to 5 percent. The Global Average Total Cost is calculated as the average total cost for sending USD 200 with all remittance service providers (RSPs) worldwide. In other terms, the global average total cost is the simple average of the total cost for sending USD 200 charged by each single RSP included in the RPW database, expressed as the percentage of the amount sent. The regional and national average total costs are calculated using the same methodology used to calculate the Global Average Total Cost. These represent the simple average total cost for sending USD 200 with every single RSP to a specific region of the world (regional), or to a specific country (national). The reference years reflect third quarter data here; for example, data for 2016 refers to data in the third quarter of the year. For all quarterly data, visit http://remittanceprices.worldbank.org.","Reducing the cost of remittance transactions has a direct impact on development by freeing additional resources that, instead of being paid as transaction cost, will remain with the senders and receivers of the flows. Remittance cost is highlighted in Sustainable Development Goal 10. Target 10.c calls for reducing to less than 3 percent the transaction costs of migrant remittances and ensure that in no corridor remittance senders are required to pay more than 5 percent by 2030.",Remittance service providers (RSPs) are excluded when they do not disclose the exchange rate applied to the transaction,,,https://datacatalog.worldbank.org/public-licenses#cc-by
FB.CBK.BRWR.P3,CC BY-4.0,"Borrowers from commercial banks (per 1,000 adults)",,Borrowers from commercial banks are the reported number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks and other banks functioning as commercial banks. For many countries data cover the total number of loan accounts due to lack of information on loan account holders.,"International Monetary Fund, Financial Access Survey.",Financial Sector: Access,,,Annual,Median,"Borrowers from commercial banks denotes the total number of resident customers that are nonfinancial corporations (public and private) and households who obtained loans from commercial banks for every 1,000 adults in the reporting country. It is calculated as (number of borrowers)*1,000/adult population in the reporting country.","Access to finance can expand opportunities for all with higher levels of access and use of banking services associated with lower financing obstacles for people and businesses. A stable financial system that promotes efficient savings and investment is also crucial for a thriving democracy and market economy. There are several aspects of access to financial services: availability, cost, and quality of services. The development and growth of credit markets depend on access to timely, reliable, and accurate data on borrowers' credit experiences. Access to credit can be improved by making it easy to create and enforce collateral agreements and by increasing information about potential borrowers' creditworthiness. Lenders look at a borrower's credit history and collateral. Where credit registries and effective collateral laws are absent - as in many developing countries - banks make fewer loans. Indicators that cover getting credit include the strength of legal rights index and the depth of credit information index.","For several countries, data cover all borrowers including commercial banks, credit unions and financial cooperatives, deposit taking microfinance institutions, and other deposit takers. These include all resident financial corporations and quasi-corporations (except the central bank) that are mainly engaged in financial intermediation and that issue liabilities included in the national definition of broad money. These institutions have varying names in different countries, such as savings and loan associations, building societies, rural banks and agricultural banks, post office giro institutions, post office savings banks, savings banks, and money market funds.",Country-specific metadata can be found on the IMF’s FAS website (data.imf.org).,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.ZS,CC BY-4.0,Children out of school (% of primary school age),,Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.FE.ZS,CC BY-4.0,"Children out of school, female (% of female primary school age)",,Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.MA.ZS,CC BY-4.0,"Children out of school, male (% of male primary school age)",,Children out of school are the percentage of primary-school-age children who are not enrolled in primary or secondary school. Children in the official primary age group that are in preprimary education should be considered out of school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Weighted average,"The rate of out-of-school children allows to compare across countries with different population sizes. It shows the share of official primary-school-age children who never attended school or dropped out to the population of official primary school age.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses. The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",,"The administrative data used in the calculation of the rate of out-of-school children are based on enrolment at a specific date which can bias the results by either counting enrolled children who never attend school or by omitting those who enroll after the reference date for reporting enrolment data. Furthermore, children who drop out of school after the reference date are not counted as out of school. Discrepancies between enrolment and population data from different sources can also result in over- or underestimates of the rate. Lastly, the international comparability of this indicator can be affected by the use of different concepts of enrolment and out-of-school children across countries.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER,CC BY-4.0,"Children out of school, primary",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.UNER.FE,CC BY-4.0,"Children out of school, primary, female",,Children out of school are the number of primary-school-age children not enrolled in primary or secondary school.,UNESCO Institute for Statistics (http://uis.unesco.org/). Data as of September 2020.,Education: Participation,,,Annual,Sum,"The number of out-of-school children is calculated by subtracting the number of primary school-age children enrolled in primary or secondary school from the total population of the official primary school-age children. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Large numbers of children out of school create pressure to enroll children and provide classrooms, teachers, and educational materials, a task made difficult in many countries by limited education budgets. However, getting children into school is a high priority for countries and crucial for achieving universal primary education.","Due to different data sources for enrollment and population data, the number may not capture the actual number of children not attending in primary school.",,,https://datacatalog.worldbank.org/public-licenses#cc-by
